Id,Prediction
0,3701543.731
1,3528412.448
2,3771023.232
3,3636412.54
4,3667685.895
5,3903440.924
6,3900499.514
7,3690057.499
8,4111951.462
9,4114013.401
10,3830125.83
11,3756283.608
12,4036191.606
13,4260847.852
14,3770735.746
15,3935305.626
16,4318508.668
17,3945549.763
18,3847814.527
19,3722862.009
20,3832089.95
21,4112740.86
22,4026862.684
23,4150849.893
24,4144545.762
25,3686861.242
26,3672519.015
27,3912592.125
28,4024162.003
29,3876210.667
30,4266321.878
31,3661643.775
32,3626669.344
33,4114623.371
34,3871804.078
35,3894334.798
36,3669484.446
37,4037670.507
38,3909547.958
39,3743182.985
40,4029085.462
41,3754859.218
42,3977808.293
43,4188789.93
44,4041089.85
45,3599002.883
46,3599938.073
47,3514860.758
48,4173052.01
49,4155485.877
50,4138674.96
51,4149896.573
52,3800655.075
53,3606733.33
54,3714130.41
55,3883338.38
56,4025845.124
57,3784559.55
58,3694818.36
59,4116047.937
60,4103080.617
61,3941098.813
62,3943269.683
63,4086886.396
64,3773556.258
65,4357835.818
66,4033943.892
67,4310347.632
68,4414642.11
69,3912883.8
70,3681876.543
71,3940227.987
72,3785797.056
73,3703592.252
74,4285673.937
75,4169071.69
76,3872888.069
77,3996057.907
78,3825008.544
79,3702928.458
80,4136065.297
81,3932049.621
82,4151340.559
83,3963917.425
84,4383799.368
85,3736156.677
86,4049256.375
87,3840274.048
88,4080048.12
89,4101170.533
90,4044731.649
91,3930755.077
92,3612142.426
93,3864943.792
94,4208261.478
95,4037004.63
96,3562085.041
97,3724545.612
98,3683648.826
99,3757252.378
100,3861058.27
101,3583678.435
102,3932207.314
103,3983792.476
104,4191270.735
105,3517584.758
106,4039180.428
107,3907992.551
108,4135023.607
109,3957146.381
110,4208157.619
111,4316809.26
112,4053947.295
113,3889904.811
114,3906803.25
115,4117225.77
116,3629070.768
117,3785008.474
118,3784517.019
119,4024629.425
120,4236323.895
121,4149140.24
122,3943316.896
123,4283698.855
124,3614118.088
125,3694164.689
126,4204751.568
127,3690238.137
128,3849732.516
129,4112843.668
130,3614597.692
131,4150697.855
132,3945264.332
133,3580373.861
134,3967016.275
135,3781255.698
136,3741840.958
