Id,Prediction
0,3844551.568
1,2509506.116
2,1202300.027
3,5560975.616
4,3397970.48
5,22353398.24
6,15129153.03
7,1876438.044
8,29471438.29
9,2036247.786
10,128865883.3
11,3871339.902
12,3494754.768
13,56797774.02
14,18296534.35
15,4840486.813
16,9139440.683
17,2078258.211
18,684556.1123
19,6887097.859
20,11872959.94
21,1944028.01
22,2759567.656
23,3949252.77
24,16799471.98
25,10935811.84
26,2760658.143
27,13079951.81
28,2679141.282
29,7315533.982
30,1846954817
31,932979.3044
32,1462610.91
33,4343254.436
34,2309530.769
35,7576000.147
36,4598980.435
37,195845757.5
38,2451957.281
39,744001.5698
40,27591029.67
41,1006157.96
42,1644632627
43,7803019.001
44,1179495.068
45,2094693.251
46,2377455.308
47,85243.13642
48,477324.2955
49,5682604.155
50,3844965.938
51,12833910.73
52,3570232.644
53,1962488.278
54,3423528.354
55,29649293.05
56,31029647.6
57,5545412.236
58,9729611.922
59,743655.2181
60,30822546.27
61,4967843.684
62,387670.128
63,6129676.403
64,7169213.429
65,12043787.25
66,4761000.551
67,1282755.202
68,6346391.4
69,5848697.441
70,4658419.977
71,1114736.816
72,1379142.539
73,5217545.189
74,11246071.98
75,4976058.938
76,5489072.617
77,4394805.006
78,225633.0513
79,837536.721
80,83046353.98
81,5757071.552
82,9085350.972
83,9344290.492
84,56817052.73
85,5380869.613
86,328918.2916
87,5690997.005
88,457814.0151
89,8162426.012
90,6168107.851
91,5650009.135
92,7507405.018
93,2679488.685
94,9306507.61
95,772935.4844
96,1301367.383
97,4328080.891
98,5998684.116
99,15163773.09
100,4238181.051
101,5104686.743
102,13122910.32
103,7314019.875
104,7041757.201
105,88884.1561
106,1207319.656
107,10551806.52
108,9296573.678
109,9648243.893
110,904535.3929
111,45373511.98
112,75658989.02
113,5606454.71
114,58820976.03
115,1015426.456
116,3882191.282
117,49096394.39
118,9657286.334
119,113784.7799
120,9200641.101
121,3399415.257
122,12344460.34
123,11573997.31
124,2611886.016
125,73811.38748
126,39432983.41
127,3092549.034
128,1242132063
129,6144412.689
130,3151407.349
131,784674563.3
132,4060807.195
133,3821206.564
134,193403.4522
135,36708423.83
136,1353671.442
137,1356722.547
138,191533523.5
139,3743424.74
140,91309559.19
141,3073991.161
142,1159030.281
143,3309644.107
144,23235214.93
145,926227.3206
146,1034798.815
147,4184069.075
148,13066785.14
149,6504467.035
150,8849816.132
151,1845663.474
152,658866.6254
153,31912269
154,3316569.462
155,8536908.187
156,2571449.649
157,2431727.06
158,274802835.2
159,7928221.794
160,6898029.047
161,2926066.159
162,3310962.002
163,7504996.842
164,21233134.52
165,4823629.373
166,4074810.999
167,3180947.255
168,1870139.446
169,31161359.3
170,2771150.505
171,1006696.955
172,95485.61493
173,6172215.327
174,21952959.31
175,5243563.896
176,10528356.17
177,8665122.344
178,10399665.21
179,3235519.135
180,11152593.66
181,2547134.642
182,648218.9756
183,498444.3307
184,19205754.82
185,6243456.075
186,3294435.036
187,5459087.445
188,9180605.439
189,970744.3709
190,1585640.105
191,3392873.695
192,21395948.66
193,2766307.985
194,2996078.159
195,5876167.077
196,888872.6222
197,7525670.687
198,7494814.001
199,3885964.2
200,6861245.586
201,4603086.262
202,3980235.01
203,7911415.88
204,7802718.248
205,13808958.07
206,54458037.95
207,14398505.63
208,2549370.192
209,2980724.06
210,12053963.17
211,5431593.31
212,1359878.128
213,9949789.345
214,5528526.533
215,1910965.053
216,16171815.79
217,615595.3278
218,1598139.001
219,3302114.187
220,2800817.916
221,38569.22439
222,11150820.11
223,5030592.22
224,3700296.31
225,151799.754
226,1977738.705
227,16147466.65
228,2409369.413
229,14470932.03
230,11395472.42
231,112936159.2
232,4841110.106
233,888217.3698
234,2112212.769
235,3069701.2
236,38404147.1
237,2188390.003
238,69045944.67
239,15994563.94
240,1713920.82
241,2326293.498
242,4746905.988
243,167846.3393
244,2790174.132
245,5084956.34
246,9785347.548
247,9937034.124
248,4243528.586
249,4049091.257
250,5613723.211
251,5699905.882
252,3295464.443
253,1420256.465
254,3960301.404
255,15162263.23
256,1609079.788
257,5139890.939
258,173845.8302
259,4814906.009
260,1148451.553
261,154345.0882
262,122020.3189
263,1638714.182
264,4496779.085
265,2130882.185
266,8915798.866
267,6790743.895
268,2913842.44
269,7395045.696
270,4192629.057
271,5281990.623
272,2089734.404
273,4330158.387
274,3688960.091
275,3752315.54
276,13907150.32
277,15600732.11
278,5684549.952
279,5618393.988
280,3955138.365
281,12081819.95
282,1909847.532
283,477615.7118
284,4632628.734
285,1932785.496
286,796170.0175
287,304527.9787
288,1397297.222
289,3535828.598
290,332630.2713
291,2598673.477
292,2016603.567
293,1035398.4
294,3212043.713
295,1535913.538
296,3692759.794
297,55644675.87
298,3420193.869
299,2177290.221
300,56591481.88
301,8312479.097
302,20686395.19
303,9377910.35
304,3104694.003
305,4015350.32
306,4700423.451
307,4963600.796
308,8972545.565
309,1535272.255
310,3946235.633
311,1608667.298
312,7761508.042
313,1167611.765
314,20452207.25
315,2904328.149
316,3124800.184
317,977509.9341
318,19612133.06
319,6903398.648
320,5052393.654
321,5947702.142
322,2753868.2
323,683096.6927
324,2204130.826
325,4015231.958
326,4995833.954
327,352958.0928
328,2825102.972
329,18507678.8
330,4732347.556
331,4014662.961
332,6400540.519
333,14067795.61
334,7380461.948
335,6169278.271
336,2727647.803
337,13043546.89
338,5476245.841
339,3901636.596
340,1328934.688
341,3394483.904
342,65420.1122
343,8636075.197
344,6087794.985
345,9175551.739
346,2639708.987
347,8956535.861
348,5130113.484
349,4009135.957
350,6313162.389
351,5445058.196
352,5956324.251
353,3279545.486
354,748587.0762
355,5059380.178
356,5639671.735
357,3553127.461
358,3719708.677
359,5449426.865
360,6115779.659
361,3847989.583
362,775209.152
363,2595572.737
364,12991281.94
365,1906631.166
366,1870250.501
367,26531944.19
368,35007537.5
369,28519043.71
370,6090596.658
371,4684803.117
372,8212506.659
373,28886842.22
374,3254460.674
375,5544511.321
376,6171057.82
377,6962199.22
378,8080907.453
379,712785.0327
380,997660.1903
381,2371007.795
382,7374739.053
383,9572035.324
384,18659589.98
385,26525166.79
386,21988031.33
387,5003057.588
388,2132917.169
389,1090224383
390,5492337.845
391,727515.5799
392,4280265.157
393,1963776.295
394,7412665.822
395,11859514.82
396,25324616.71
397,12565596.98
398,9702881.646
399,13311717.13
400,4003320.65
401,6434847.468
402,1296354.156
403,39928094.03
404,4631867.026
405,1177515.804
406,1917385.643
407,15255429.35
